sequence_id,host_type,length,accession
BK065718.1_fungi,fungi,4664,BK065718.1
BK065717.1_fungi,fungi,4297,BK065717.1
BK065716.1_fungi,fungi,4608,BK065716.1
BK065715.1_fungi,fungi,4332,BK065715.1
BK065714.1_fungi,fungi,4683,BK065714.1
BK065713.1_fungi,fungi,4632,BK065713.1
BK065712.1_fungi,fungi,5024,BK065712.1
BK065711.1_fungi,fungi,4191,BK065711.1
BK065710.1_fungi,fungi,4637,BK065710.1
BK065709.1_fungi,fungi,5228,BK065709.1
BK065708.1_fungi,fungi,4356,BK065708.1
BK065707.1_fungi,fungi,4867,BK065707.1
BK065706.1_fungi,fungi,4635,BK065706.1
BK065705.1_fungi,fungi,4641,BK065705.1
BK065704.1_fungi,fungi,4202,BK065704.1
BK065703.1_fungi,fungi,4347,BK065703.1
BK065702.1_fungi,fungi,4647,BK065702.1
BK065701.1_fungi,fungi,4769,BK065701.1
BK065700.1_fungi,fungi,4684,BK065700.1
BK065699.1_fungi,fungi,4564,BK065699.1
BK065698.1_fungi,fungi,4506,BK065698.1
BK065697.1_fungi,fungi,4623,BK065697.1
BK065696.1_fungi,fungi,4249,BK065696.1
BK065695.1_fungi,fungi,4749,BK065695.1
BK065694.1_fungi,fungi,4663,BK065694.1
BK065693.1_fungi,fungi,4730,BK065693.1
BK065692.1_fungi,fungi,4773,BK065692.1
BK065691.1_fungi,fungi,4834,BK065691.1
BK065690.1_fungi,fungi,4688,BK065690.1
BK065689.1_fungi,fungi,4444,BK065689.1
BK065688.1_fungi,fungi,4867,BK065688.1
BK065687.1_fungi,fungi,5174,BK065687.1
BK065686.1_fungi,fungi,4689,BK065686.1
BK065685.1_fungi,fungi,4581,BK065685.1
BK065684.1_fungi,fungi,4631,BK065684.1
BK065683.1_fungi,fungi,4727,BK065683.1
BK065682.1_fungi,fungi,4296,BK065682.1
BK065681.1_fungi,fungi,4162,BK065681.1
BK065680.1_fungi,fungi,4867,BK065680.1
BK065679.1_fungi,fungi,3645,BK065679.1
BK065678.1_fungi,fungi,3646,BK065678.1
BK065677.1_fungi,fungi,4229,BK065677.1
BK065676.1_fungi,fungi,4100,BK065676.1
BK065675.1_fungi,fungi,4862,BK065675.1
BK065674.1_fungi,fungi,3461,BK065674.1
BK065673.1_fungi,fungi,4207,BK065673.1
BK065672.1_fungi,fungi,4832,BK065672.1
BK065671.1_fungi,fungi,4508,BK065671.1
BK065670.1_fungi,fungi,3506,BK065670.1
BK065669.1_fungi,fungi,5234,BK065669.1
BK065668.1_fungi,fungi,4310,BK065668.1
BK065667.1_fungi,fungi,4244,BK065667.1
BK065666.1_fungi,fungi,5047,BK065666.1
BK065665.1_fungi,fungi,4545,BK065665.1
BK065664.1_fungi,fungi,4865,BK065664.1
BK065663.1_fungi,fungi,4844,BK065663.1
BK065662.1_fungi,fungi,4359,BK065662.1
BK065661.1_fungi,fungi,4952,BK065661.1
BK065660.1_fungi,fungi,4602,BK065660.1
BK065659.1_fungi,fungi,4613,BK065659.1
BK065658.1_fungi,fungi,4980,BK065658.1
BK065657.1_fungi,fungi,4287,BK065657.1
BK065656.1_fungi,fungi,4921,BK065656.1
BK065655.1_fungi,fungi,4751,BK065655.1
BK065654.1_fungi,fungi,4669,BK065654.1
BK065653.1_fungi,fungi,4196,BK065653.1
BK065652.1_fungi,fungi,3934,BK065652.1
BK065651.1_fungi,fungi,4346,BK065651.1
BK065650.1_fungi,fungi,4702,BK065650.1
BK065649.1_fungi,fungi,4612,BK065649.1
BK065648.1_fungi,fungi,4628,BK065648.1
BK065647.1_fungi,fungi,4220,BK065647.1
BK065646.1_fungi,fungi,4688,BK065646.1
BK065645.1_fungi,fungi,4477,BK065645.1
BK065644.1_fungi,fungi,4438,BK065644.1
BK065643.1_fungi,fungi,4235,BK065643.1
BK065642.1_fungi,fungi,4409,BK065642.1
BK065641.1_fungi,fungi,4465,BK065641.1
BK065640.1_fungi,fungi,4791,BK065640.1
BK065639.1_fungi,fungi,4973,BK065639.1
PX673726.1_algae,algae,318546,PX673726.1
PI322060.1_algae,algae,1788,PI322060.1
PI322059.1_algae,algae,1788,PI322059.1
PI322053.1_algae,algae,1170,PI322053.1
PI322052.1_algae,algae,1166,PI322052.1
PI322002.1_algae,algae,1788,PI322002.1
PI322001.1_algae,algae,1788,PI322001.1
PI321984.1_algae,algae,1170,PI321984.1
PI321983.1_algae,algae,1166,PI321983.1
PI321976.1_algae,algae,1707,PI321976.1
PI321975.1_algae,algae,1707,PI321975.1
PI321929.1_algae,algae,1788,PI321929.1
PI321928.1_algae,algae,1788,PI321928.1
PI321910.1_algae,algae,1170,PI321910.1
PI321909.1_algae,algae,1166,PI321909.1
OL828819.1_algae,algae,24744,OL828819.1
PQ442268.1_algae,algae,191124,PQ442268.1
KX857749.1_algae,algae,327147,KX857749.1
JX997187.1_algae,algae,289373,JX997187.1
JX997186.1_algae,algae,320880,JX997186.1
JX997185.1_algae,algae,311647,JX997185.1
JX997184.1_algae,algae,313584,JX997184.1
JX997183.1_algae,algae,348463,JX997183.1
JX997182.1_algae,algae,344863,JX997182.1
JX997181.1_algae,algae,325996,JX997181.1
JX997180.1_algae,algae,323517,JX997180.1
JX997179.1_algae,algae,328315,JX997179.1
JX997178.1_algae,algae,298622,JX997178.1
JX997177.1_algae,algae,319583,JX997177.1
JX997176.1_algae,algae,326559,JX997176.1
JX997175.1_algae,algae,289449,JX997175.1
JX997174.1_algae,algae,327406,JX997174.1
JX997173.1_algae,algae,339391,JX997173.1
JX997172.1_algae,algae,339653,JX997172.1
JX997171.1_algae,algae,287769,JX997171.1
JX997170.1_algae,algae,345255,JX997170.1
JX997169.1_algae,algae,323497,JX997169.1
JX997168.1_algae,algae,315239,JX997168.1
JX997167.1_algae,algae,303810,JX997167.1
JX997166.1_algae,algae,305715,JX997166.1
JX997165.1_algae,algae,311223,JX997165.1
JX997164.1_algae,algae,330002,JX997164.1
JX997163.1_algae,algae,327107,JX997163.1
JX997162.1_algae,algae,309195,JX997162.1
JX997161.1_algae,algae,318742,JX997161.1
JX997160.1_algae,algae,319457,JX997160.1
JX997159.1_algae,algae,326592,JX997159.1
JX997158.1_algae,algae,293004,JX997158.1
JX997157.1_algae,algae,329890,JX997157.1
JX997156.1_algae,algae,306752,JX997156.1
JX997155.1_algae,algae,295545,JX997155.1
JX997154.1_algae,algae,327349,JX997154.1
JX997153.1_algae,algae,332309,JX997153.1
JF411744.1_algae,algae,330611,JF411744.1
DQ491003.2_algae,algae,344691,DQ491003.2
EF101928.1_algae,algae,288047,EF101928.1
DQ890022.1_algae,algae,321240,DQ890022.1
DQ491002.1_algae,algae,368683,DQ491002.1
DQ491001.1_algae,algae,314335,DQ491001.1
PQ067566.1_algae,algae,319121,PQ067566.1
PQ067565.1_algae,algae,318693,PQ067565.1
PQ067564.1_algae,algae,325620,PQ067564.1
PQ067563.1_algae,algae,329981,PQ067563.1
PQ067562.1_algae,algae,385464,PQ067562.1
PQ067561.1_algae,algae,336752,PQ067561.1
PQ067560.1_algae,algae,340975,PQ067560.1
PQ067559.1_algae,algae,359845,PQ067559.1
PQ067558.1_algae,algae,332400,PQ067558.1
PQ067557.1_algae,algae,341146,PQ067557.1
PQ067556.1_algae,algae,360575,PQ067556.1
PQ067555.1_algae,algae,348592,PQ067555.1
PQ067554.1_algae,algae,349588,PQ067554.1
PQ067553.1_algae,algae,306492,PQ067553.1
PQ067552.1_algae,algae,319042,PQ067552.1
PQ067551.1_algae,algae,323023,PQ067551.1
PQ067550.1_algae,algae,358506,PQ067550.1
PQ067549.1_algae,algae,368285,PQ067549.1
PQ067548.1_algae,algae,315805,PQ067548.1
PQ067547.1_algae,algae,329479,PQ067547.1
PQ067546.1_algae,algae,307647,PQ067546.1
PQ067545.1_algae,algae,283088,PQ067545.1
PQ067544.1_algae,algae,347903,PQ067544.1
PQ067543.1_algae,algae,303544,PQ067543.1
PP681914.1_algae,algae,314723,PP681914.1
PP681913.1_algae,algae,383466,PP681913.1
PP681912.1_algae,algae,365554,PP681912.1
PP681911.1_algae,algae,290838,PP681911.1
PP681910.1_algae,algae,310357,PP681910.1
PP681909.1_algae,algae,371253,PP681909.1
PP681908.1_algae,algae,323328,PP681908.1
PP681907.1_algae,algae,338249,PP681907.1
PP681906.1_algae,algae,317497,PP681906.1
PP681905.1_algae,algae,353969,PP681905.1
PP681904.1_algae,algae,385991,PP681904.1
PP681903.1_algae,algae,358607,PP681903.1
PP681902.1_algae,algae,374307,PP681902.1
PP681901.1_algae,algae,333679,PP681901.1
PP681900.1_algae,algae,391815,PP681900.1
PP681899.1_algae,algae,351825,PP681899.1
PP681898.1_algae,algae,409489,PP681898.1
PP681897.1_algae,algae,409110,PP681897.1
PP681896.1_algae,algae,370366,PP681896.1
PP681895.1_algae,algae,385571,PP681895.1
PP681894.1_algae,algae,386133,PP681894.1
PP681893.1_algae,algae,341837,PP681893.1
PP681892.1_algae,algae,327414,PP681892.1
PP681891.1_algae,algae,351222,PP681891.1
PP681890.1_algae,algae,354143,PP681890.1
PP681889.1_algae,algae,367782,PP681889.1
PP681888.1_algae,algae,332900,PP681888.1
PP681887.1_algae,algae,341205,PP681887.1
PP681886.1_algae,algae,355565,PP681886.1
PP681885.1_algae,algae,332967,PP681885.1
PP681884.1_algae,algae,321598,PP681884.1
PP681883.1_algae,algae,305751,PP681883.1
PP681882.1_algae,algae,328537,PP681882.1
PP681881.1_algae,algae,326843,PP681881.1
PP681880.1_algae,algae,323145,PP681880.1
PP681879.1_algae,algae,337272,PP681879.1
PP681878.1_algae,algae,301967,PP681878.1
PP681877.1_algae,algae,313306,PP681877.1
PP681876.1_algae,algae,339491,PP681876.1
PP681875.1_algae,algae,373376,PP681875.1
PP681874.1_algae,algae,379477,PP681874.1
PP681873.1_algae,algae,345564,PP681873.1
PP681872.1_algae,algae,376634,PP681872.1
PP681871.1_algae,algae,301364,PP681871.1
PP681870.1_algae,algae,327412,PP681870.1
PP681869.1_algae,algae,352746,PP681869.1
PP681868.1_algae,algae,312612,PP681868.1
PP681867.1_algae,algae,389101,PP681867.1
PP681866.1_algae,algae,355747,PP681866.1
PP681865.1_algae,algae,379575,PP681865.1
PP681864.1_algae,algae,351902,PP681864.1
PP681863.1_algae,algae,365757,PP681863.1
PP681862.1_algae,algae,364166,PP681862.1
PL121202.1_algae,algae,1788,PL121202.1
PL121201.1_algae,algae,1788,PL121201.1
PL121184.1_algae,algae,1170,PL121184.1
PL121183.1_algae,algae,1166,PL121183.1
PL121176.1_algae,algae,1707,PL121176.1
PL121175.1_algae,algae,1707,PL121175.1
PL121039.1_algae,algae,1788,PL121039.1
PL121038.1_algae,algae,1788,PL121038.1
PL121020.1_algae,algae,1170,PL121020.1
PL121019.1_algae,algae,1166,PL121019.1
PL120958.1_algae,algae,1788,PL120958.1
PL120957.1_algae,algae,1788,PL120957.1
PL120951.1_algae,algae,1170,PL120951.1
PL120950.1_algae,algae,1166,PL120950.1
MT293425.1_protozoa,protozoa,2092,MT293425.1
MT293413.1_protozoa,protozoa,2713,MT293413.1
KF757256.1_protozoa,protozoa,5193,KF757256.1
JF411744.1_protozoa,protozoa,330611,JF411744.1
PQ212523.1_protozoa,protozoa,6267,PQ212523.1
BK068258.1_protozoa,protozoa,683254,BK068258.1
OR885871.1_protozoa,protozoa,158142,OR885871.1
OR753423.1_protozoa,protozoa,5216,OR753423.1
OR753422.1_protozoa,protozoa,5205,OR753422.1
OR753421.1_protozoa,protozoa,5195,OR753421.1
OR192167.1_protozoa,protozoa,5213,OR192167.1
OR192166.1_protozoa,protozoa,5219,OR192166.1
NC_076894.1_protozoa,protozoa,2102,NC_076894.1
NC_076893.1_protozoa,protozoa,1938,NC_076893.1
NC_076892.1_protozoa,protozoa,2092,NC_076892.1
NC_076891.1_protozoa,protozoa,2093,NC_076891.1
NC_076890.1_protozoa,protozoa,1876,NC_076890.1
NC_076889.1_protozoa,protozoa,2931,NC_076889.1
NC_076888.1_protozoa,protozoa,1788,NC_076888.1
NC_076887.1_protozoa,protozoa,2713,NC_076887.1
NC_076886.1_protozoa,protozoa,1922,NC_076886.1
NC_036582.1_protozoa,protozoa,293123,NC_036582.1
NC_013288.1_protozoa,protozoa,191761,NC_013288.1
NC_007346.1_protozoa,protozoa,407339,NC_007346.1
NC_000852.5_protozoa,protozoa,330611,NC_000852.5
LC716008.1_protozoa,protozoa,6162,LC716008.1
MZ926706.1_protozoa,protozoa,5222,MZ926706.1
MZ926705.1_protozoa,protozoa,5222,MZ926705.1
MZ926704.1_protozoa,protozoa,5222,MZ926704.1
MZ926701.1_protozoa,protozoa,5222,MZ926701.1
MZ926700.1_protozoa,protozoa,5222,MZ926700.1
MZ466338.1_protozoa,protozoa,5215,MZ466338.1
MZ466337.1_protozoa,protozoa,5218,MZ466337.1
MZ593846.1_protozoa,protozoa,8185,MZ593846.1
MW978698.1_protozoa,protozoa,4820,MW978698.1
MW978697.1_protozoa,protozoa,4656,MW978697.1
MW659706.1_protozoa,protozoa,6276,MW659706.1
MW659707.1_protozoa,protozoa,6275,MW659707.1
MW659705.1_protozoa,protozoa,6275,MW659705.1
MW659704.1_protozoa,protozoa,6275,MW659704.1
MT293429.1_protozoa,protozoa,2102,MT293429.1
MT293428.1_protozoa,protozoa,2069,MT293428.1
MT293427.1_protozoa,protozoa,2030,MT293427.1
MT293426.1_protozoa,protozoa,1938,MT293426.1
MT293423.1_protozoa,protozoa,2095,MT293423.1
MT293422.1_protozoa,protozoa,2095,MT293422.1
MT293421.1_protozoa,protozoa,2093,MT293421.1
MT293420.1_protozoa,protozoa,1874,MT293420.1
MT293419.1_protozoa,protozoa,1879,MT293419.1
MT293418.1_protozoa,protozoa,1876,MT293418.1
MT293417.1_protozoa,protozoa,2939,MT293417.1
MT293416.1_protozoa,protozoa,2931,MT293416.1
MT293415.1_protozoa,protozoa,1788,MT293415.1
MT293414.1_protozoa,protozoa,1788,MT293414.1
MT293412.1_protozoa,protozoa,1919,MT293412.1
MT293411.1_protozoa,protozoa,1920,MT293411.1
MT293410.1_protozoa,protozoa,1922,MT293410.1
NC_004588.1_protozoa,protozoa,38206,NC_004588.1
MN418975.1_protozoa,protozoa,5222,MN418975.1
MN418974.1_protozoa,protozoa,5222,MN418974.1
NC_040632.1_protozoa,protozoa,4947,NC_040632.1
NC_038700.1_protozoa,protozoa,4944,NC_038700.1
NC_027701.1_protozoa,protozoa,4666,NC_027701.1
NC_007915.3_protozoa,protozoa,8226,NC_007915.3
NC_024115.1_protozoa,protozoa,5193,NC_024115.1
NC_004034.1_protozoa,protozoa,4844,NC_004034.1
NC_003873.1_protozoa,protozoa,4674,NC_003873.1
NC_003824.1_protozoa,protozoa,4647,NC_003824.1
NC_003601.1_protozoa,protozoa,5283,NC_003601.1
NC_003555.1_protozoa,protozoa,6277,NC_003555.1
NC_002064.1_protozoa,protozoa,5241,NC_002064.1
NC_002063.1_protozoa,protozoa,5284,NC_002063.1
MG256177.1_protozoa,protozoa,4947,MG256177.1
KX686068.1_protozoa,protozoa,5284,KX686068.1
KU724434.1_protozoa,protozoa,5286,KU724434.1
KU724433.1_protozoa,protozoa,5286,KU724433.1
MF678796.1_protozoa,protozoa,293123,MF678796.1
KX808487.1_protozoa,protozoa,5283,KX808487.1
KX808486.1_protozoa,protozoa,5286,KX808486.1
KX808485.1_protozoa,protozoa,5274,KX808485.1
KX808484.1_protozoa,protozoa,5259,KX808484.1
KX808483.1_protozoa,protozoa,5283,KX808483.1
KM268110.1_protozoa,protozoa,4825,KM268110.1
KM268109.1_protozoa,protozoa,4657,KM268109.1
KM268108.1_protozoa,protozoa,4666,KM268108.1
FN386611.1_protozoa,protozoa,191761,FN386611.1
AY570982.3_protozoa,protozoa,8226,AY570982.3
AE004092.2_protozoa,protozoa,1852433,AE004092.2
AE014074.1_protozoa,protozoa,1900521,AE014074.1
JN225873.1_protozoa,protozoa,189567,JN225873.1
JF436871.1_protozoa,protozoa,4686,JF436871.1
JF436870.1_protozoa,protozoa,4689,JF436870.1
JF436869.1_protozoa,protozoa,4657,JF436869.1
HQ607523.1_protozoa,protozoa,4680,HQ607523.1
HQ607521.1_protozoa,protozoa,4680,HQ607521.1
HQ607517.1_protozoa,protozoa,4684,HQ607517.1
HQ607516.1_protozoa,protozoa,4678,HQ607516.1
HQ607513.1_protozoa,protozoa,4684,HQ607513.1
HQ607524.1_protozoa,protozoa,4671,HQ607524.1
HQ607518.1_protozoa,protozoa,4674,HQ607518.1
HQ607514.1_protozoa,protozoa,4674,HQ607514.1
HQ607525.1_protozoa,protozoa,4842,HQ607525.1
HQ607519.1_protozoa,protozoa,4846,HQ607519.1
HQ607515.1_protozoa,protozoa,4845,HQ607515.1
HQ607526.1_protozoa,protozoa,4942,HQ607526.1
HQ607522.1_protozoa,protozoa,4943,HQ607522.1
HQ607520.1_protozoa,protozoa,4944,HQ607520.1
U32108.1_protozoa,protozoa,5241,U32108.1
DQ238861.1_protozoa,protozoa,6276,DQ238861.1
AF525216.1_protozoa,protozoa,6273,AF525216.1
NC_107953.1_bacteria,bacteria,49144,NC_107953.1
NC_107952.1_bacteria,bacteria,50039,NC_107952.1
NZ_CP045110.1_bacteria,bacteria,3981941,NZ_CP045110.1
PX963132.1_bacteria,bacteria,43287,PX963132.1
PX946834.1_bacteria,bacteria,40664,PX946834.1
NZ_CP011102.1_bacteria,bacteria,3406292,NZ_CP011102.1
NZ_CP010905.2_bacteria,bacteria,4274782,NZ_CP010905.2
PX943400.1_bacteria,bacteria,39847,PX943400.1
PX943399.1_bacteria,bacteria,38610,PX943399.1
PX943398.1_bacteria,bacteria,38678,PX943398.1
PX943397.1_bacteria,bacteria,38678,PX943397.1
PX943396.1_bacteria,bacteria,38536,PX943396.1
NC_105619.1_bacteria,bacteria,48980,NC_105619.1
NC_105618.1_bacteria,bacteria,50465,NC_105618.1
NC_105617.1_bacteria,bacteria,50709,NC_105617.1
NC_105788.1_bacteria,bacteria,49689,NC_105788.1
PX866606.1_bacteria,bacteria,52194,PX866606.1
PX646905.1_bacteria,bacteria,39556,PX646905.1
PX403247.1_bacteria,bacteria,29890,PX403247.1
NC_129615.1_bacteria,bacteria,151052,NC_129615.1
OQ829281.1_bacteria,bacteria,76397,OQ829281.1
PV763896.1_bacteria,bacteria,41435,PV763896.1
PV763895.1_bacteria,bacteria,41675,PV763895.1
PV763894.1_bacteria,bacteria,41630,PV763894.1
PV763893.1_bacteria,bacteria,41600,PV763893.1
PV763892.1_bacteria,bacteria,41078,PV763892.1
PV763891.1_bacteria,bacteria,41065,PV763891.1
PV745554.1_bacteria,bacteria,224634,PV745554.1
NZ_CP008698.1_bacteria,bacteria,4193640,NZ_CP008698.1
NZ_CP007800.1_bacteria,bacteria,4188369,NZ_CP007800.1
CP111182.1_bacteria,bacteria,8240007,CP111182.1
NZ_CP029707.1_bacteria,bacteria,7038012,NZ_CP029707.1
PV231355.1_bacteria,bacteria,223013,PV231355.1
PV231354.1_bacteria,bacteria,223270,PV231354.1
PV231353.1_bacteria,bacteria,208414,PV231353.1
PV231352.1_bacteria,bacteria,223180,PV231352.1
PV591327.1_bacteria,bacteria,74184,PV591327.1
PV608691.1_bacteria,bacteria,7459,PV608691.1
PV608690.1_bacteria,bacteria,7459,PV608690.1
PV608689.1_bacteria,bacteria,7459,PV608689.1
PV550092.1_bacteria,bacteria,7374,PV550092.1
PV550091.1_bacteria,bacteria,7457,PV550091.1
PQ805431.1_bacteria,bacteria,45374,PQ805431.1
PV400811.1_bacteria,bacteria,174351,PV400811.1
PV159336.1_bacteria,bacteria,148932,PV159336.1
PQ790662.1_bacteria,bacteria,66368,PQ790662.1
PP355976.1_bacteria,bacteria,45679,PP355976.1
PQ464596.1_bacteria,bacteria,53022,PQ464596.1
PQ464597.1_bacteria,bacteria,174859,PQ464597.1
PQ464595.1_bacteria,bacteria,366556,PQ464595.1
PQ464594.1_bacteria,bacteria,171558,PQ464594.1
PQ464593.1_bacteria,bacteria,45228,PQ464593.1
PQ464592.1_bacteria,bacteria,92884,PQ464592.1
PQ464591.1_bacteria,bacteria,171806,PQ464591.1
PQ464590.1_bacteria,bacteria,366158,PQ464590.1
NZ_CP139039.1_bacteria,bacteria,4785978,NZ_CP139039.1
NZ_CP019649.1_bacteria,bacteria,4999862,NZ_CP019649.1
PQ655446.1_bacteria,bacteria,54625,PQ655446.1
NZ_CP016318.1_bacteria,bacteria,4293048,NZ_CP016318.1
PQ466444.1_bacteria,bacteria,36601,PQ466444.1
MW057918.1_bacteria,bacteria,45053,MW057918.1
AB823818.1_bacteria,bacteria,38099,AB823818.1
NZ_CP110845.1_bacteria,bacteria,8926672,NZ_CP110845.1
PP952733.1_bacteria,bacteria,87639,PP952733.1
PP695294.1_bacteria,bacteria,243229,PP695294.1
PP711298.1_bacteria,bacteria,55098,PP711298.1
PP481222.1_bacteria,bacteria,89931,PP481222.1
PP526725.1_bacteria,bacteria,46095,PP526725.1
OR999052.1_bacteria,bacteria,4612,OR999052.1
OR999050.1_bacteria,bacteria,4553,OR999050.1
OR999040.1_bacteria,bacteria,4585,OR999040.1
OR999038.1_bacteria,bacteria,4615,OR999038.1
OR999036.1_bacteria,bacteria,4441,OR999036.1
PP453689.1_bacteria,bacteria,42132,PP453689.1
PP107912.1_bacteria,bacteria,42925,PP107912.1
PP230461.1_bacteria,bacteria,44894,PP230461.1
OR885871.1_bacteria,bacteria,158142,OR885871.1
CP139039.1_bacteria,bacteria,4785978,CP139039.1
OQ418408.1_bacteria,bacteria,62021,OQ418408.1
MZ611865.1_bacteria,bacteria,44514,MZ611865.1
ON493777.1_bacteria,bacteria,20926,ON493777.1
OR725122.1_bacteria,bacteria,156840,OR725122.1
ON453905.1_bacteria,bacteria,35440,ON453905.1
ON453904.1_bacteria,bacteria,42124,ON453904.1
ON453903.1_bacteria,bacteria,37125,ON453903.1
ON453902.1_bacteria,bacteria,37533,ON453902.1
ON453901.1_bacteria,bacteria,47242,ON453901.1
ON453900.1_bacteria,bacteria,57045,ON453900.1
ON453899.1_bacteria,bacteria,77323,ON453899.1
ON453898.1_bacteria,bacteria,46066,ON453898.1
ON453897.1_bacteria,bacteria,58097,ON453897.1
ON453896.1_bacteria,bacteria,31347,ON453896.1
ON453895.1_bacteria,bacteria,36894,ON453895.1
ON453893.1_bacteria,bacteria,39241,ON453893.1
OR053651.1_bacteria,bacteria,76506,OR053651.1
OR047306.1_bacteria,bacteria,7320,OR047306.1
NC_079183.1_bacteria,bacteria,53673,NC_079183.1
NC_012757.1_bacteria,bacteria,6842,NC_012757.1
NC_075037.1_bacteria,bacteria,1016844,NC_075037.1
OQ469322.1_bacteria,bacteria,31251,OQ469322.1
OK017908.1_bacteria,bacteria,31252,OK017908.1
OK017907.1_bacteria,bacteria,28151,OK017907.1
OQ578995.1_bacteria,bacteria,48173,OQ578995.1
OQ578994.1_bacteria,bacteria,46871,OQ578994.1
OQ578993.1_bacteria,bacteria,48241,OQ578993.1
NC_073748.1_bacteria,bacteria,6722,NC_073748.1
CP063417.1_bacteria,bacteria,55505,CP063417.1
NC_073480.1_bacteria,bacteria,18277,NC_073480.1
NC_073091.1_bacteria,bacteria,52629,NC_073091.1
OQ317942.1_bacteria,bacteria,52629,OQ317942.1
MW364975.1_bacteria,bacteria,44592,MW364975.1
MW364974.1_bacteria,bacteria,42498,MW364974.1
MW364973.1_bacteria,bacteria,43266,MW364973.1
MW364972.1_bacteria,bacteria,42460,MW364972.1
MW364971.1_bacteria,bacteria,42935,MW364971.1
NC_070967.1_bacteria,bacteria,206821,NC_070967.1
NC_070966.1_bacteria,bacteria,207623,NC_070966.1
NC_070885.1_bacteria,bacteria,154206,NC_070885.1
NC_070884.1_bacteria,bacteria,153811,NC_070884.1
NC_070883.1_bacteria,bacteria,152762,NC_070883.1
NC_070857.1_bacteria,bacteria,76359,NC_070857.1
NC_070854.1_bacteria,bacteria,78314,NC_070854.1
NC_070853.1_bacteria,bacteria,77869,NC_070853.1
NC_070852.1_bacteria,bacteria,77174,NC_070852.1
NC_070851.1_bacteria,bacteria,78126,NC_070851.1
OQ184949.1_bacteria,bacteria,4696,OQ184949.1
OP076120.1_bacteria,bacteria,45636,OP076120.1
OP076100.1_bacteria,bacteria,49373,OP076100.1
