protein_id,accession,host_type,product,length
DBA53703.1,BK065772.1,fungi,ORF-B protein,665
DBA53704.1,BK065772.1,fungi,RNA-directed RNA polymerase,705
DBA53701.1,BK065771.1,fungi,ORF-B protein,653
DBA53702.1,BK065771.1,fungi,RNA-directed RNA polymerase,703
DBA53699.1,BK065770.1,fungi,ORF-B protein,680
DBA53700.1,BK065770.1,fungi,RNA-directed RNA polymerase,707
DBA53697.1,BK065769.1,fungi,ORF-B protein,553
DBA53698.1,BK065769.1,fungi,RNA-directed RNA polymerase,644
DBA53695.1,BK065768.1,fungi,ORF-B protein,603
DBA53696.1,BK065768.1,fungi,RNA-directed RNA polymerase,656
DBA53693.1,BK065767.1,fungi,ORF-B protein,689
DBA53694.1,BK065767.1,fungi,RNA-directed RNA polymerase,701
DBA53691.1,BK065766.1,fungi,ORF-B protein,654
DBA53692.1,BK065766.1,fungi,RNA-directed RNA polymerase,740
DBA53689.1,BK065765.1,fungi,ORF-B protein,656
DBA53690.1,BK065765.1,fungi,RNA-directed RNA polymerase,698
DBA53687.1,BK065764.1,fungi,ORF-B protein,707
DBA53688.1,BK065764.1,fungi,RNA-directed RNA polymerase,713
DBA53685.1,BK065763.1,fungi,ORF-B protein,395
DBA53686.1,BK065763.1,fungi,RNA-directed RNA polymerase,676
DBA53683.1,BK065762.1,fungi,ORF-B protein,457
DBA53684.1,BK065762.1,fungi,RNA-directed RNA polymerase,513
DBA53681.1,BK065761.1,fungi,ORF-B protein,394
DBA53682.1,BK065761.1,fungi,RNA-directed RNA polymerase,634
DBA53679.1,BK065760.1,fungi,ORF-B protein,656
DBA53680.1,BK065760.1,fungi,RNA-directed RNA polymerase,769
DBA53677.1,BK065759.1,fungi,ORF-B protein,407
DBA53678.1,BK065759.1,fungi,RNA-directed RNA polymerase,701
DBA53675.1,BK065758.1,fungi,ORF-B protein,389
DBA53676.1,BK065758.1,fungi,RNA-directed RNA polymerase,671
DBA53673.1,BK065757.1,fungi,ORF-B protein,653
DBA53674.1,BK065757.1,fungi,RNA-directed RNA polymerase,707
DBA53671.1,BK065756.1,fungi,ORF-B protein,638
DBA53672.1,BK065756.1,fungi,RNA-directed RNA polymerase,751
DBA53669.1,BK065755.1,fungi,ORF-B protein,664
DBA53670.1,BK065755.1,fungi,RNA-directed RNA polymerase,689
DBA53667.1,BK065754.1,fungi,ORF-B protein,602
DBA53668.1,BK065754.1,fungi,RNA-directed RNA polymerase,646
DBA53665.1,BK065753.1,fungi,ORF-B protein,563
DBA53666.1,BK065753.1,fungi,RNA-directed RNA polymerase,617
DBA53663.1,BK065752.1,fungi,ORF-B protein,643
DBA53664.1,BK065752.1,fungi,RNA-directed RNA polymerase,781
DBA53661.1,BK065751.1,fungi,ORF-B protein,366
DBA53662.1,BK065751.1,fungi,RNA-directed RNA polymerase,672
DBA53659.1,BK065750.1,fungi,ORF-B protein,575
DBA53660.1,BK065750.1,fungi,RNA-directed RNA polymerase,646
DBA53657.1,BK065749.1,fungi,ORF-B protein,603
DBA53658.1,BK065749.1,fungi,RNA-directed RNA polymerase,662
DBA53655.1,BK065748.1,fungi,ORF-B protein,553
DBA53656.1,BK065748.1,fungi,RNA-directed RNA polymerase,667
DBA53653.1,BK065747.1,fungi,ORF-B protein,665
DBA53654.1,BK065747.1,fungi,RNA-directed RNA polymerase,705
DBA53651.1,BK065746.1,fungi,ORF-B protein,427
DBA53652.1,BK065746.1,fungi,RNA-directed RNA polymerase,468
DBA53649.1,BK065745.1,fungi,ORF-B protein,657
DBA53650.1,BK065745.1,fungi,RNA-directed RNA polymerase,764
DBA53647.1,BK065744.1,fungi,ORF-B protein,651
DBA53648.1,BK065744.1,fungi,RNA-directed RNA polymerase,682
DBA53645.1,BK065743.1,fungi,ORF-B protein,610
DBA53646.1,BK065743.1,fungi,RNA-directed RNA polymerase,645
DBA53643.1,BK065742.1,fungi,ORF-B protein,419
DBA53644.1,BK065742.1,fungi,RNA-directed RNA polymerase,713
DBA53641.1,BK065741.1,fungi,ORF-B protein,577
DBA53642.1,BK065741.1,fungi,RNA-directed RNA polymerase,717
DBA53639.1,BK065740.1,fungi,ORF-B protein,642
DBA53640.1,BK065740.1,fungi,RNA-directed RNA polymerase,705
DBA53637.1,BK065739.1,fungi,ORF-B protein,243
DBA53638.1,BK065739.1,fungi,RNA-directed RNA polymerase,704
DBA53635.1,BK065738.1,fungi,ORF-B protein,618
DBA53636.1,BK065738.1,fungi,RNA-directed RNA polymerase,649
DBA53633.1,BK065737.1,fungi,ORF-B protein,654
DBA53634.1,BK065737.1,fungi,RNA-directed RNA polymerase,770
DBA53631.1,BK065736.1,fungi,ORF-B protein,559
DBA53632.1,BK065736.1,fungi,RNA-directed RNA polymerase,604
DBA53629.1,BK065735.1,fungi,ORF-B protein,651
DBA53630.1,BK065735.1,fungi,RNA-directed RNA polymerase,754
DBA53627.1,BK065734.1,fungi,ORF-B protein,649
DBA53628.1,BK065734.1,fungi,RNA-directed RNA polymerase,737
DBA53625.1,BK065733.1,fungi,ORF-B protein,627
DBA53626.1,BK065733.1,fungi,RNA-directed RNA polymerase,700
DBA53623.1,BK065732.1,fungi,ORF-B protein,446
DBA53624.1,BK065732.1,fungi,RNA-directed RNA polymerase,517
DBA53621.1,BK065731.1,fungi,ORF-B protein,680
DBA53622.1,BK065731.1,fungi,RNA-directed RNA polymerase,707
DBA53619.1,BK065730.1,fungi,ORF-B protein,604
DBA53620.1,BK065730.1,fungi,RNA-directed RNA polymerase,660
DBA53617.1,BK065729.1,fungi,ORF-B protein,634
DBA53618.1,BK065729.1,fungi,RNA-directed RNA polymerase,667
DBA53615.1,BK065728.1,fungi,ORF-B protein,597
DBA53616.1,BK065728.1,fungi,RNA-directed RNA polymerase,703
DBA53613.1,BK065727.1,fungi,ORF-B protein,656
DBA53614.1,BK065727.1,fungi,RNA-directed RNA polymerase,769
DBA53611.1,BK065726.1,fungi,ORF-B protein,585
DBA53612.1,BK065726.1,fungi,RNA-directed RNA polymerase,667
DBA53609.1,BK065725.1,fungi,ORF-B protein,600
DBA53610.1,BK065725.1,fungi,RNA-directed RNA polymerase,635
DBA53607.1,BK065724.1,fungi,ORF-B protein,632
DBA53608.1,BK065724.1,fungi,RNA-directed RNA polymerase,769
DBA53605.1,BK065723.1,fungi,ORF-B protein,343
DBA53606.1,BK065723.1,fungi,RNA-directed RNA polymerase,671
DBA53603.1,BK065722.1,fungi,ORF-B protein,691
DBA53604.1,BK065722.1,fungi,RNA-directed RNA polymerase,730
DBA53601.1,BK065721.1,fungi,ORF-B protein,638
DBA53602.1,BK065721.1,fungi,RNA-directed RNA polymerase,672
DBA53599.1,BK065720.1,fungi,ORF-B protein,659
DBA53600.1,BK065720.1,fungi,RNA-directed RNA polymerase,705
DBA53597.1,BK065719.1,fungi,ORF-B protein,433
DBA53598.1,BK065719.1,fungi,RNA-directed RNA polymerase,715
DBA53595.1,BK065718.1,fungi,ORF-B protein,644
DBA53596.1,BK065718.1,fungi,RNA-directed RNA polymerase,701
DBA53593.1,BK065717.1,fungi,ORF-B protein,626
DBA53594.1,BK065717.1,fungi,RNA-directed RNA polymerase,655
DBA53591.1,BK065716.1,fungi,ORF-B protein,371
DBA53592.1,BK065716.1,fungi,RNA-directed RNA polymerase,711
DBA53589.1,BK065715.1,fungi,ORF-B protein,606
DBA53590.1,BK065715.1,fungi,RNA-directed RNA polymerase,663
DBA53587.1,BK065714.1,fungi,ORF-B protein,684
DBA53588.1,BK065714.1,fungi,RNA-directed RNA polymerase,710
DBA53585.1,BK065713.1,fungi,ORF-B protein,555
DBA53586.1,BK065713.1,fungi,RNA-directed RNA polymerase,602
DBA53583.1,BK065712.1,fungi,ORF-B protein,655
DBA53584.1,BK065712.1,fungi,RNA-directed RNA polymerase,736
DBA53581.1,BK065711.1,fungi,ORF-B protein,604
DBA53582.1,BK065711.1,fungi,RNA-directed RNA polymerase,645
DBA53579.1,BK065710.1,fungi,ORF-B protein,658
DBA53580.1,BK065710.1,fungi,RNA-directed RNA polymerase,690
DBA53577.1,BK065709.1,fungi,ORF-B protein,634
DBA53578.1,BK065709.1,fungi,RNA-directed RNA polymerase,768
DBA53575.1,BK065708.1,fungi,ORF-B protein,618
DBA53576.1,BK065708.1,fungi,RNA-directed RNA polymerase,704
DBA53573.1,BK065707.1,fungi,ORF-B protein,487
DBA53574.1,BK065707.1,fungi,RNA-directed RNA polymerase,743
DBA53571.1,BK065706.1,fungi,ORF-B protein,658
DBA53572.1,BK065706.1,fungi,RNA-directed RNA polymerase,703
DBA53569.1,BK065705.1,fungi,ORF-B protein,642
DBA53570.1,BK065705.1,fungi,RNA-directed RNA polymerase,720
DBA53567.1,BK065704.1,fungi,ORF-B protein,607
DBA53568.1,BK065704.1,fungi,RNA-directed RNA polymerase,649
DBA53565.1,BK065703.1,fungi,ORF-B protein,400
DBA53566.1,BK065703.1,fungi,RNA-directed RNA polymerase,652
DBA53563.1,BK065702.1,fungi,ORF-B protein,665
DBA53564.1,BK065702.1,fungi,RNA-directed RNA polymerase,707
DBA53561.1,BK065701.1,fungi,ORF-B protein,653
DBA53562.1,BK065701.1,fungi,RNA-directed RNA polymerase,730
DBA53559.1,BK065700.1,fungi,ORF-B protein,518
DBA53560.1,BK065700.1,fungi,RNA-directed RNA polymerase,579
DBA53557.1,BK065699.1,fungi,ORF-B protein,656
DBA53558.1,BK065699.1,fungi,RNA-directed RNA polymerase,688
DBA53555.1,BK065698.1,fungi,ORF-B protein,597
DBA53556.1,BK065698.1,fungi,RNA-directed RNA polymerase,702
DBA53553.1,BK065697.1,fungi,ORF-B protein,423
DBA53554.1,BK065697.1,fungi,RNA-directed RNA polymerase,684
DBA53551.1,BK065696.1,fungi,ORF-B protein,609
DBA53552.1,BK065696.1,fungi,RNA-directed RNA polymerase,650
DBA53549.1,BK065695.1,fungi,ORF-B protein,635
DBA53550.1,BK065695.1,fungi,RNA-directed RNA polymerase,728
DBA53547.1,BK065694.1,fungi,ORF-B protein,627
DBA53548.1,BK065694.1,fungi,RNA-directed RNA polymerase,705
DBA53545.1,BK065693.1,fungi,ORF-B protein,643
DBA53546.1,BK065693.1,fungi,RNA-directed RNA polymerase,718
DBA53543.1,BK065692.1,fungi,ORF-B protein,664
DBA53544.1,BK065692.1,fungi,RNA-directed RNA polymerase,719
DBA53541.1,BK065691.1,fungi,ORF-B protein,360
DBA53542.1,BK065691.1,fungi,RNA-directed RNA polymerase,458
DBA53539.1,BK065690.1,fungi,ORF-B protein,665
DBA53540.1,BK065690.1,fungi,RNA-directed RNA polymerase,731
DBA53537.1,BK065689.1,fungi,ORF-B protein,366
DBA53538.1,BK065689.1,fungi,RNA-directed RNA polymerase,672
DBA53535.1,BK065688.1,fungi,ORF-B protein,595
DBA53536.1,BK065688.1,fungi,RNA-directed RNA polymerase,723
DBA53533.1,BK065687.1,fungi,ORF-B protein,636
DBA53534.1,BK065687.1,fungi,RNA-directed RNA polymerase,770
DBA53531.1,BK065686.1,fungi,ORF-B protein,493
DBA53532.1,BK065686.1,fungi,RNA-directed RNA polymerase,516
DBA53529.1,BK065685.1,fungi,ORF-B protein,613
DBA53530.1,BK065685.1,fungi,RNA-directed RNA polymerase,691
DBA53527.1,BK065684.1,fungi,ORF-B protein,661
DBA53528.1,BK065684.1,fungi,RNA-directed RNA polymerase,704
DBA53525.1,BK065683.1,fungi,ORF-B protein,642
DBA53526.1,BK065683.1,fungi,RNA-directed RNA polymerase,705
DBA53523.1,BK065682.1,fungi,ORF-B protein,610
DBA53524.1,BK065682.1,fungi,RNA-directed RNA polymerase,638
DBA53521.1,BK065681.1,fungi,ORF-B protein,601
DBA53522.1,BK065681.1,fungi,RNA-directed RNA polymerase,654
DBA53519.1,BK065680.1,fungi,ORF-B protein,680
DBA53520.1,BK065680.1,fungi,RNA-directed RNA polymerase,716
DBA53517.1,BK065679.1,fungi,ORF-B protein,431
DBA53518.1,BK065679.1,fungi,RNA-directed RNA polymerase,682
DBA53515.1,BK065678.1,fungi,ORF-B protein,381
DBA53516.1,BK065678.1,fungi,RNA-directed RNA polymerase,661
DBA53513.1,BK065677.1,fungi,ORF-B protein,617
DBA53514.1,BK065677.1,fungi,RNA-directed RNA polymerase,642
DBA53511.1,BK065676.1,fungi,ORF-B protein,409
DBA53512.1,BK065676.1,fungi,RNA-directed RNA polymerase,665
DBA53509.1,BK065675.1,fungi,ORF-B protein,650
DBA53510.1,BK065675.1,fungi,RNA-directed RNA polymerase,726
DBA53507.1,BK065674.1,fungi,ORF-B protein,392
DBA53508.1,BK065674.1,fungi,RNA-directed RNA polymerase,623
DBA53505.1,BK065673.1,fungi,ORF-B protein,602
DBA53506.1,BK065673.1,fungi,RNA-directed RNA polymerase,648
DBA53503.1,BK065672.1,fungi,ORF-B protein,565
DBA53504.1,BK065672.1,fungi,RNA-directed RNA polymerase,639
DBA53501.1,BK065671.1,fungi,ORF-B protein,597
DBA53502.1,BK065671.1,fungi,RNA-directed RNA polymerase,703
DBA53499.1,BK065670.1,fungi,ORF-B protein,392
DBA53500.1,BK065670.1,fungi,RNA-directed RNA polymerase,619
DBA53497.1,BK065669.1,fungi,ORF-B protein,671
DBA53498.1,BK065669.1,fungi,RNA-directed RNA polymerase,717
DBA53495.1,BK065668.1,fungi,ORF-B protein,603
DBA53496.1,BK065668.1,fungi,RNA-directed RNA polymerase,663
DBA53493.1,BK065667.1,fungi,ORF-B protein,612
DBA53494.1,BK065667.1,fungi,RNA-directed RNA polymerase,643
DBA53491.1,BK065666.1,fungi,ORF-B protein,652
DBA53492.1,BK065666.1,fungi,RNA-directed RNA polymerase,704
DBA53489.1,BK065665.1,fungi,ORF-B protein,339
DBA53490.1,BK065665.1,fungi,RNA-directed RNA polymerase,673
DBA53487.1,BK065664.1,fungi,ORF-B protein,652
DBA53488.1,BK065664.1,fungi,RNA-directed RNA polymerase,689
DBA53485.1,BK065663.1,fungi,ORF-B protein,569
DBA53486.1,BK065663.1,fungi,RNA-directed RNA polymerase,657
DBA53483.1,BK065662.1,fungi,ORF-B protein,621
DBA53484.1,BK065662.1,fungi,RNA-directed RNA polymerase,667
DBA53481.1,BK065661.1,fungi,ORF-B protein,657
DBA53482.1,BK065661.1,fungi,RNA-directed RNA polymerase,786
DBA53479.1,BK065660.1,fungi,ORF-B protein,664
DBA53480.1,BK065660.1,fungi,RNA-directed RNA polymerase,704
DBA53477.1,BK065659.1,fungi,ORF-B protein,675
DBA53478.1,BK065659.1,fungi,RNA-directed RNA polymerase,703
DBA53475.1,BK065658.1,fungi,ORF-B protein,363
DBA53476.1,BK065658.1,fungi,RNA-directed RNA polymerase,454
DBA53473.1,BK065657.1,fungi,ORF-B protein,621
DBA53474.1,BK065657.1,fungi,RNA-directed RNA polymerase,667
DBA53471.1,BK065656.1,fungi,ORF-B protein,647
DBA53472.1,BK065656.1,fungi,RNA-directed RNA polymerase,755
DBA53469.1,BK065655.1,fungi,ORF-B protein,677
DBA53470.1,BK065655.1,fungi,RNA-directed RNA polymerase,719
DBA53467.1,BK065654.1,fungi,ORF-B protein,557
DBA53468.1,BK065654.1,fungi,RNA-directed RNA polymerase,618
DBA53465.1,BK065653.1,fungi,ORF-B protein,636
DBA53466.1,BK065653.1,fungi,RNA-directed RNA polymerase,649
DBA53463.1,BK065652.1,fungi,ORF-B protein,597
DBA53464.1,BK065652.1,fungi,RNA-directed RNA polymerase,615
DBA53461.1,BK065651.1,fungi,ORF-B protein,616
DBA53462.1,BK065651.1,fungi,RNA-directed RNA polymerase,664
DBA53459.1,BK065650.1,fungi,ORF-B protein,652
DBA53460.1,BK065650.1,fungi,RNA-directed RNA polymerase,724
DBA53457.1,BK065649.1,fungi,ORF-B protein,407
DBA53458.1,BK065649.1,fungi,RNA-directed RNA polymerase,712
DBA53455.1,BK065648.1,fungi,ORF-B protein,422
DBA53456.1,BK065648.1,fungi,RNA-directed RNA polymerase,684
DBA53453.1,BK065647.1,fungi,ORF-B protein,606
DBA53454.1,BK065647.1,fungi,RNA-directed RNA polymerase,650
DBA53451.1,BK065646.1,fungi,ORF-B protein,594
DBA53452.1,BK065646.1,fungi,RNA-directed RNA polymerase,651
DBA53449.1,BK065645.1,fungi,ORF-B protein,532
DBA53450.1,BK065645.1,fungi,RNA-directed RNA polymerase,695
DBA53447.1,BK065644.1,fungi,ORF-B protein,366
DBA53448.1,BK065644.1,fungi,RNA-directed RNA polymerase,672
DBA53445.1,BK065643.1,fungi,ORF-B protein,614
DBA53446.1,BK065643.1,fungi,RNA-directed RNA polymerase,658
DBA53443.1,BK065642.1,fungi,ORF-B protein,624
DBA53444.1,BK065642.1,fungi,RNA-directed RNA polymerase,683
DBA53441.1,BK065641.1,fungi,ORF-B protein,302
DBA53442.1,BK065641.1,fungi,RNA-directed RNA polymerase,665
DBA53439.1,BK065640.1,fungi,ORF-B protein,647
DBA53440.1,BK065640.1,fungi,RNA-directed RNA polymerase,722
DBA53437.1,BK065639.1,fungi,ORF-B protein,659
DBA53438.1,BK065639.1,fungi,RNA-directed RNA polymerase,759
YDD24470.1,PX673726.1,algae,ADP ribosyltransferase,181
YDD24471.1,PX673726.1,algae,thaumatin pathogenesis-like protein,266
YDD24472.1,PX673726.1,algae,fibernectin binding protein,237
YDD24473.1,PX673726.1,algae,P22 mCP,1485
YDD24474.1,PX673726.1,algae,P22 mCP,1472
YDD24475.1,PX673726.1,algae,P20 mCP,113
YDD24476.1,PX673726.1,algae,P22 mCP,954
YDD24477.1,PX673726.1,algae,major capsid protein VP54,411
YDD24478.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,308
YDD24479.1,PX673726.1,algae,putative immunoglobulin-blocking virulence protein,623
YDD24480.1,PX673726.1,algae,hypothetical protein,105
YDD24481.1,PX673726.1,algae,SKP1-like protein,151
YDD24482.1,PX673726.1,algae,alpha/beta hydrolase fold protein,74
YDD24483.1,PX673726.1,algae,AAA ATPase,599
YDD24484.1,PX673726.1,algae,hypothetical protein,123
YDD24485.1,PX673726.1,algae,glycerophosphoryl diester phosphodiesterase,203
YDD24486.1,PX673726.1,algae,pyrimidine dimer-specific glycosylase,116
YDD24487.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,245
YDD24488.1,PX673726.1,algae,putative phosphohistidine phosphatase,203
YDD24489.1,PX673726.1,algae,D-lactate dehydrogenase,362
YDD24490.1,PX673726.1,algae,glycosyltransferase domain GTB type,334
YDD24492.1,PX673726.1,algae,methyltransferase FkbM,248
YDD24493.1,PX673726.1,algae,O-methyltransferase,210
YDD24494.1,PX673726.1,algae,glycosyltransferase,297
YDD24495.1,PX673726.1,algae,hypothetical protein,253
YDD24496.1,PX673726.1,algae,thaumatin pathogenesis-like protein,161
YDD24497.1,PX673726.1,algae,HNH homing endonuclease,448
YDD24498.1,PX673726.1,algae,glycosyltransferase,357
YDD24499.1,PX673726.1,algae,exostosin,279
YDD24500.1,PX673726.1,algae,initiation-control protein YabA,175
YDD24501.1,PX673726.1,algae,signalP-noTM,95
YDD24502.1,PX673726.1,algae,hypothetical protein,94
YDD24503.1,PX673726.1,algae,N-carbamoylputrescine amidase,298
YDD24504.1,PX673726.1,algae,protein of unknown function (DUF1390),246
YDD24505.1,PX673726.1,algae,hypothetical protein,189
YDD24506.1,PX673726.1,algae,hypothetical protein,182
YDD24507.1,PX673726.1,algae,prolyl 4-hydroxylase,229
YDD24508.1,PX673726.1,algae,prolyl 4-hydroxylase,254
YDD24509.1,PX673726.1,algae,PolB1 Binding Protein 2,68
YDD24510.1,PX673726.1,algae,ADP ribosyltransferase,401
YDD24848.1,PX673726.1,algae,ADP ribosyltransferase,73
YDD24512.1,PX673726.1,algae,beta-1-3-glucanase,70
YDD24513.1,PX673726.1,algae,glucosamine--fructose-6-phosphate aminotransferase,446
YDD24514.1,PX673726.1,algae,mRNA-capping enzyme,330
YDD24515.1,PX673726.1,algae,ubiquitin carboxyl-terminal hydrolase,285
YDD24516.1,PX673726.1,algae,transcription initiation factor IIB,290
YDD24517.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,168
YDD24518.1,PX673726.1,algae,glycosyl transferase,860
YDD24519.1,PX673726.1,algae,GDP-D-mannose dehydratase,345
YDD24520.1,PX673726.1,algae,Tir Gfp DNA mobile protein,104
YDD24521.1,PX673726.1,algae,P22 mCP,120
YDD24522.1,PX673726.1,algae,transcription elongation factor S-II,192
YDD24523.1,PX673726.1,algae,hypothetical protein,245
YDD24524.1,PX673726.1,algae,hypothetical protein,348
YDD24525.1,PX673726.1,algae,hypothetical protein,136
YDD24526.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,159
YDD24527.1,PX673726.1,algae,hypothetical protein,146
YDD24528.1,PX673726.1,algae,hypothetical protein,273
YDD24529.1,PX673726.1,algae,P12 mCP,140
YDD24530.1,PX673726.1,algae,P19 mCP,710
YDD24531.1,PX673726.1,algae,hypothetical protein,109
YDD24532.1,PX673726.1,algae,hypothetical protein,111
YDD24533.1,PX673726.1,algae,hypothetical protein,126
YDD24534.1,PX673726.1,algae,ATP-dependent DNA helicase,462
YDD24535.1,PX673726.1,algae,hypothetical protein,417
YDD24536.1,PX673726.1,algae,ATP synthase,111
YDD24537.1,PX673726.1,algae,hypothetical protein,104
YDD24538.1,PX673726.1,algae,hypothetical protein,149
YDD24539.1,PX673726.1,algae,N-methyl-D-aspartate receptor,411
YDD24540.1,PX673726.1,algae,ligand-gated ion channel,433
YDD24541.1,PX673726.1,algae,membrane cofactor protein,59
YDD24542.1,PX673726.1,algae,helicase protein,112
YDD24543.1,PX673726.1,algae,hypothetical protein,149
YDD24544.1,PX673726.1,algae,nuclease,268
YDD24545.1,PX673726.1,algae,hypothetical protein,165
YDD24546.1,PX673726.1,algae,aspartate transcarbamylase,323
YDD24547.1,PX673726.1,algae,AB hydrolase,387
YDD24548.1,PX673726.1,algae,lipid hydrolase,275
YDD24549.1,PX673726.1,algae,hypothetical protein,71
YDD24550.1,PX673726.1,algae,fibronectin/fibrinogen binding protein,108
